ID,Zimmer,Quadratmet,Preis,PLZ,Adresse,AdressePLZ,City,Canton,Country,result_num,osm_id,display_na,category,type,latlong,full_id,osm_id_2,osm_type,railway,layer,start_date,name:ja,light_rail,local_ref,network:wikidata,ref_name,nat_name,old_name,wheelchair:description,level,tactile_paving,wheelchair,uic_ref,uic_name,tram,ref,public_transport,operator,network,name,ele,n,distance,feature_x,feature_y,nearest_x,nearest_y
"31","3","98","3570","8001",Muehlegasse 25,"Muehlegasse 25, 8001",Zurich,Zurich,Switzerland,"0","5664110722","Town Down, 25, Mühlegasse, Rathaus, Altstadt, Zürich, Bezirk Zürich, Zürich, 8001, Schweiz/Suisse/Svizzera/Svizra",shop,clothes,"47.374577,8.5452978",n2275466607,"2275466607",node,tram_stop,,,,,,,,,,,,,,"8591327","Zürich, Rudolf-Brun-Brücke",yes,"2113",stop_position,VBZ,ZVV,Rudolf-Brun-Brücke,"407","1",0.00238420594118969,8.5452978,47.374577,8.5429627,47.3740956
"32","3","59","5950","8004",Cramerstrasse 2-6,"Cramerstrasse 2-6, 8004",Zurich,Zurich,Switzerland,"0","5944787","Cramerstrasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",highway,residential,"47.3732762,8.5260791",n2275787444,"2275787444",node,tram_stop,,,,,,Q201977,,,,,,,yes,"8591079","Zürich, Bezirksgebäude",yes,"478",stop_position,VBZ,ZVV,Bezirksgebäude,"411","1",0.000740540046185204,8.5260791,47.3732762,8.5258741,47.3739878
"33","3","136","9090","8002",Bellariastrasse 36,"Bellariastrasse 36, 8002",Zurich,Zurich,Switzerland,"0","371655172","36, Bellariastrasse, Enge, Kreis 2, Zürich, Bezirk Zürich, Zürich, 8002, Schweiz/Suisse/Svizzera/Svizra",building,yes,"47.35257835,8.530230281652269",n4885862782,"4885862782",node,tram_stop,,,,,,,,,,,,,,"8591082","Zürich, Billoweg",yes,"488",stop_position,VBZ,ZVV,Billoweg,"413","1",0.00191049988743737,8.53023028165227,47.35257835,8.5319803,47.3518119
"34","3","73","6090","8004",Cramerstrasse 2-6,"Cramerstrasse 2-6, 8004",Zurich,Zurich,Switzerland,"0","5944787","Cramerstrasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",highway,residential,"47.3732762,8.5260791",n2275787444,"2275787444",node,tram_stop,,,,,,Q201977,,,,,,,yes,"8591079","Zürich, Bezirksgebäude",yes,"478",stop_position,VBZ,ZVV,Bezirksgebäude,"411","1",0.000740540046185204,8.5260791,47.3732762,8.5258741,47.3739878
"35","3","73","7290","8001",Gerechtigkeitsgasse 8,"Gerechtigkeitsgasse 8, 8001",Zurich,Zurich,Switzerland,"0","101701275","8, Gerechtigkeitsgasse, City, Altstadt, Zürich, Bezirk Zürich, Zürich, 8022, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.3698009,8.531809745689879",n2308617697,"2308617697",node,tram_stop,,,,,,,"Zürich, Bahnhof Selnau","Zürich, Bahnhof Selnau",,,,,yes,"8591064","Zürich Selnau, Bahnhof",yes,"2551",stop_position,VBZ,ZVV,Bahnhof Selnau,"413","1",0.000873647884361603,8.53180974568988,47.3698009,8.5318751,47.3706721
"36","3","80","4650","8008",Seefeldstrasse 45,"Seefeldstrasse 45, 8008",Zurich,Zurich,Switzerland,"0","8066317403","Daniel Feist - Uhren & Schmuck, 45, Seefeldstrasse, Mühlebach, Kreis 8, Zürich, Bezirk Zürich, Zürich, 8008, Schweiz/Suisse/Svizzera/Svizra",shop,watches,"47.3628029,8.5502837",n2296910032,"2296910032",node,tram_stop,,,,,,,,,,,,,yes,"8576196","Zürich, Kreuzstrasse",yes,"1456",stop_position,VBZ,ZVV,Kreuzstrasse,"415","1",0.000301088840710072,8.5502837,47.3628029,8.5500037,47.3629136
"37","3","91","2310","8037",Rosengartenstrasse 23,"Rosengartenstrasse 23, 8037",Zurich,Zurich,Switzerland,"0","134929248","23, Rosengartenstrasse, Wipkingen, Kreis 10, Zürich, Bezirk Zürich, Zürich, 8037, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.395160149999995,8.525664172837992",n2275377478,"2275377478",node,tram_stop,,,,,,,,,,,,,,"8591437","Zürich, Wipkingerplatz",yes,"2937",stop_position,VBZ,ZVV,Wipkingerplatz,"409","1",0.0032898526918794,8.52566417283799,47.39516015,8.5237299,47.392499
"38","3","86","6820","8004",Cramerstrasse 8-12,"Cramerstrasse 8-12, 8004",Zurich,Zurich,Switzerland,"0","5944787","Cramerstrasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",highway,residential,"47.3732762,8.5260791",n2275787444,"2275787444",node,tram_stop,,,,,,Q201977,,,,,,,yes,"8591079","Zürich, Bezirksgebäude",yes,"478",stop_position,VBZ,ZVV,Bezirksgebäude,"411","1",0.000740540046185204,8.5260791,47.3732762,8.5258741,47.3739878
"39","3","80","4280","8008",Seefeldstrasse 45,"Seefeldstrasse 45, 8008",Zurich,Zurich,Switzerland,"0","8066317403","Daniel Feist - Uhren & Schmuck, 45, Seefeldstrasse, Mühlebach, Kreis 8, Zürich, Bezirk Zürich, Zürich, 8008, Schweiz/Suisse/Svizzera/Svizra",shop,watches,"47.3628029,8.5502837",n2296910032,"2296910032",node,tram_stop,,,,,,,,,,,,,yes,"8576196","Zürich, Kreuzstrasse",yes,"1456",stop_position,VBZ,ZVV,Kreuzstrasse,"415","1",0.000301088840710072,8.5502837,47.3628029,8.5500037,47.3629136
"40","3","119","3870","8057",Winterthurerstrasse 340,"Winterthurerstrasse 340, 8057",Zurich,Zurich,Switzerland,"0","125615445","340, Winterthurerstrasse, Schwamendingen Mitte, Kreis 12, Zürich, Bezirk Zürich, Zürich, 8057, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.40360495,8.557836550000001",n256060661,"256060661",node,tram_stop,,,,,,,,,,"Zugang zur Haltestelle über die beiden Lifte im Westen;im Osten hat es nur eine Rolltreppe.","-1",,yes,"8591420","Zürich, Waldgarten",yes,"2814",stop_position,VBZ,ZVV,Waldgarten,"452","1",0.00037018639224055,8.55783655,47.40360495,8.5575213,47.403799
"41","3","59","5790","8004",Cramerstrasse 2-6,"Cramerstrasse 2-6, 8004",Zurich,Zurich,Switzerland,"0","5944787","Cramerstrasse, Werd, Kreis 4, Zürich, Bezirk Zürich, Zürich, 8004, Schweiz/Suisse/Svizzera/Svizra",highway,residential,"47.3732762,8.5260791",n2275787444,"2275787444",node,tram_stop,,,,,,Q201977,,,,,,,yes,"8591079","Zürich, Bezirksgebäude",yes,"478",stop_position,VBZ,ZVV,Bezirksgebäude,"411","1",0.000740540046185204,8.5260791,47.3732762,8.5258741,47.3739878
"42","3","67","4090","8001",Kirchgasse 33,"Kirchgasse 33, 8001",Zurich,Zurich,Switzerland,"0","894921285","33, Kirchgasse, Rathaus, Altstadt, Zürich, Bezirk Zürich, Zürich, 8001, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.3706708,8.5462642",n2281357423,"2281357423",node,tram_stop,,,,,,,,,,,,,,"8591287","Zürich, Neumarkt",yes,"1724",stop_position,VBZ,ZVV,Neumarkt,"421","1",0.00231494662141345,8.5462642,47.3706708,8.5474461,47.3726613
"43","3","78","3740","8037",Scheffelstrasse 3,"Scheffelstrasse 3, 8037",Zurich,Zurich,Switzerland,"0","480274029","Migros, 3, Scheffelstrasse, Wipkingen, Kreis 10, Zürich, Bezirk Zürich, Zürich, 8037, Schweiz/Suisse/Svizzera/Svizra",shop,supermarket,"47.3937084,8.5292465",n2275377478,"2275377478",node,tram_stop,,,,,,,,,,,,,,"8591437","Zürich, Wipkingerplatz",yes,"2937",stop_position,VBZ,ZVV,Wipkingerplatz,"409","1",0.0056476122317313,8.5292465,47.3937084,8.5237299,47.392499
"44","3","56","4740","8050",Gubelstrasse 64,"Gubelstrasse 64, 8050",Zurich,Zurich,Switzerland,"0","1599913398","64, Gubelstrasse, Oerlikon, Kreis 11, Zürich, Bezirk Zürich, Zürich, 8050, Schweiz/Suisse/Svizzera/Svizra",place,house,"47.4094474,8.5408316",n2282371073,"2282371073",node,tram_stop,,,,,,,,,,,,,yes,"8591314","Zürich, Regensbergbrücke",yes,"2045",stop_position,VBZ,ZVV,Regensbergbrücke,"451","1",0.00155961549748544,8.5408316,47.4094474,8.5394211,47.4087819
"45","3","72","3220","8049",Michelstrasse 17,"Michelstrasse 17, 8049",Zurich,Zurich,Switzerland,"0","149584039","Michelstrasse, Höngg, Kreis 10, Zürich, Bezirk Zürich, Zürich, 8049, Schweiz/Suisse/Svizzera/Svizra",highway,residential,"47.404997,8.4953949",n2288300989,"2288300989",node,tram_stop,,,,,,,,,,,,,,"8591446","Zürich, Zwielplatz",yes,"3015",stop_position,VBZ,ZVV,Zwielplatz,"455","1",0.00293507765655687,8.4953949,47.404997,8.4962406,47.4021864
"46","3","49","3590","8049",Winzerstrasse 65,"Winzerstrasse 65, 8049",Zurich,Zurich,Switzerland,"0","31344564","65, Winzerstrasse, Höngg, Kreis 10, Zürich, Bezirk Zürich, Zürich, 8064, Schweiz/Suisse/Svizzera/Svizra",building,apartments,"47.40154365,8.48946126866097",n2288301037,"2288301037",node,tram_stop,,,,,,,,,,,,,limited,"8591423","Zürich, Wartau",yes,"2831",stop_position,VBZ,ZVV,Wartau,"448","1",0.00233803010860995,8.48946126866097,47.40154365,8.4914005,47.4028497
